Protocol,Model,Fold,Train start,Train end,Test start,Test end,AUC-ROC,Accuracy
Step 3c - WF 500/100 with embargo,MLP,1,2016-02-22,2018-02-13,2018-03-15,2018-08-06,0.3584,0.82
Step 3c - WF 500/100 with embargo,MLP,2,2016-07-14,2018-07-09,2018-08-07,2018-12-28,0.5096,0.43
Step 3c - WF 500/100 with embargo,MLP,3,2016-12-05,2018-11-28,2018-12-31,2019-05-23,0.5539,0.61
Step 3c - WF 500/100 with embargo,MLP,4,2017-05-01,2019-04-25,2019-05-24,2019-10-15,0.5987,0.62
Step 3c - WF 500/100 with embargo,MLP,5,2017-09-21,2019-09-17,2019-10-16,2020-03-10,0.1108,0.21
Step 3c - WF 500/100 with embargo,MLP,6,2018-02-14,2020-02-10,2020-03-11,2020-07-31,0.6605,0.77
Step 3c - WF 500/100 with embargo,MLP,7,2018-07-10,2020-07-02,2020-08-03,2020-12-22,0.72,0.7
Step 3c - WF 500/100 with embargo,MLP,8,2018-11-29,2020-11-23,2020-12-23,2021-05-18,0.5553,0.85
Step 3c - WF 500/100 with embargo,MLP,9,2019-04-26,2021-04-20,2021-05-19,2021-10-08,0.6837,0.8
Step 3c - WF 500/100 with embargo,MLP,10,2019-09-18,2021-09-10,2021-10-11,2022-03-03,0.403,0.43
Step 3c - WF 500/100 with embargo,MLP,11,2020-02-11,2022-02-02,2022-03-04,2022-07-27,0.5064,0.44
Step 3c - WF 500/100 with embargo,MLP,12,2020-07-06,2022-06-28,2022-07-28,2022-12-16,0.4855,0.39
Step 3c - WF 500/100 with embargo,MLP,13,2020-11-24,2022-11-17,2022-12-19,2023-05-12,0.7009,0.51
Step 3c - WF 500/100 with embargo,MLP,14,2021-04-21,2023-04-14,2023-05-15,2023-10-05,0.586,0.56
Step 3c - WF 500/100 with embargo,LSTM,1,2016-02-22,2018-02-13,2018-03-15,2018-08-06,0.5114,0.85
Step 3c - WF 500/100 with embargo,LSTM,2,2016-07-14,2018-07-09,2018-08-07,2018-12-28,0.5231,0.43
Step 3c - WF 500/100 with embargo,LSTM,3,2016-12-05,2018-11-28,2018-12-31,2019-05-23,0.7932,0.73
Step 3c - WF 500/100 with embargo,LSTM,4,2017-05-01,2019-04-25,2019-05-24,2019-10-15,0.7701,0.65
Step 3c - WF 500/100 with embargo,LSTM,5,2017-09-21,2019-09-17,2019-10-16,2020-03-10,0.2316,0.67
Step 3c - WF 500/100 with embargo,LSTM,6,2018-02-14,2020-02-10,2020-03-11,2020-07-31,0.6528,0.93
Step 3c - WF 500/100 with embargo,LSTM,7,2018-07-10,2020-07-02,2020-08-03,2020-12-22,0.2769,0.73
Step 3c - WF 500/100 with embargo,LSTM,8,2018-11-29,2020-11-23,2020-12-23,2021-05-18,0.4298,0.85
Step 3c - WF 500/100 with embargo,LSTM,9,2019-04-26,2021-04-20,2021-05-19,2021-10-08,0.655,0.8
Step 3c - WF 500/100 with embargo,LSTM,10,2019-09-18,2021-09-10,2021-10-11,2022-03-03,0.5227,0.44
Step 3c - WF 500/100 with embargo,LSTM,11,2020-02-11,2022-02-02,2022-03-04,2022-07-27,0.4469,0.45
Step 3c - WF 500/100 with embargo,LSTM,12,2020-07-06,2022-06-28,2022-07-28,2022-12-16,0.5221,0.39
Step 3c - WF 500/100 with embargo,LSTM,13,2020-11-24,2022-11-17,2022-12-19,2023-05-12,0.2887,0.57
Step 3c - WF 500/100 with embargo,LSTM,14,2021-04-21,2023-04-14,2023-05-15,2023-10-05,0.3432,0.41
Step 3c - WF 500/100 with embargo,CNN-GAF,1,2016-02-22,2018-02-13,2018-03-15,2018-08-06,0.4267,0.85
Step 3c - WF 500/100 with embargo,CNN-GAF,2,2016-07-14,2018-07-09,2018-08-07,2018-12-28,0.2689,0.43
Step 3c - WF 500/100 with embargo,CNN-GAF,3,2016-12-05,2018-11-28,2018-12-31,2019-05-23,0.3611,0.79
Step 3c - WF 500/100 with embargo,CNN-GAF,4,2017-05-01,2019-04-25,2019-05-24,2019-10-15,0.7481,0.65
Step 3c - WF 500/100 with embargo,CNN-GAF,5,2017-09-21,2019-09-17,2019-10-16,2020-03-10,0.1669,0.67
Step 3c - WF 500/100 with embargo,CNN-GAF,6,2018-02-14,2020-02-10,2020-03-11,2020-07-31,0.2243,0.73
Step 3c - WF 500/100 with embargo,CNN-GAF,7,2018-07-10,2020-07-02,2020-08-03,2020-12-22,0.2688,0.8
Step 3c - WF 500/100 with embargo,CNN-GAF,8,2018-11-29,2020-11-23,2020-12-23,2021-05-18,0.5757,0.85
Step 3c - WF 500/100 with embargo,CNN-GAF,9,2019-04-26,2021-04-20,2021-05-19,2021-10-08,0.8119,0.8
Step 3c - WF 500/100 with embargo,CNN-GAF,10,2019-09-18,2021-09-10,2021-10-11,2022-03-03,0.418,0.44
Step 3c - WF 500/100 with embargo,CNN-GAF,11,2020-02-11,2022-02-02,2022-03-04,2022-07-27,0.6107,0.46
Step 3c - WF 500/100 with embargo,CNN-GAF,12,2020-07-06,2022-06-28,2022-07-28,2022-12-16,0.7184,0.39
Step 3c - WF 500/100 with embargo,CNN-GAF,13,2020-11-24,2022-11-17,2022-12-19,2023-05-12,0.5551,0.72
Step 3c - WF 500/100 with embargo,CNN-GAF,14,2021-04-21,2023-04-14,2023-05-15,2023-10-05,0.4368,0.5
